Date,Open,High,Low,Close,Adj Close,Volume
Apr 24, 2026,545.00,715.00,670.00,675.00,675.00,199,164,700
Apr 23, 2026,720.00,740.00,700.00,700.00,700.00,189,416,500
Apr 22, 2026,735.00,770.00,725.00,730.00,730.00,142,094,000
Apr 21, 2026,760.00,770.00,725.00,730.00,730.00,114,058,600
Apr 20, 2026,740.00,755.00,725.00,755.00,755.00,
Apr 17, 2026,750.00,780.00,725.00,735.00,735.00,134,173,000
Apr 16, 2026,765.00,775.00,735.00,740.00,740.00,278,075,300
Apr 15, 2026,730.00,760.00,730.00,745.00,745.00,222,840,300
Apr 14, 2026,755.00,780.00,740.00,745.00,745.00,145,267,500
Apr 13, 2026,755.00,780.00,740.00,745.00,745.00,98,810,100
Apr 9, 2026,765.00,776.00,740.00,745.00,745.00,135,857,500
Apr 8, 2026,715.00,795.00,715.00,780.00,780.00,215,401,400
Apr 7, 2026,710.00,720.00,685.00,695.00,695.00,72,276,400
Apr 6, 2026,720.00,740.00,705.00,710.00,710.00,66,045,400
Apr 2, 2026,725.00,740.00,705.00,730.00,730.00,81,871,700
Apr 1, 2026,745.00,765.00,670.00,730.00,730.00,197,448,900
Mar 31, 2026,680.00,700.00,670.00,730.00,730.00,250,844,400
Mar 30, 2026,655.00,685.00,640.00,665.00,665.00,87,788,900
Mar 27, 2026,685.00,710.00,665.00,665.00,665.00,129,688,400
Mar 26, 2026,740.00,740.00,680.00,690.00,690.00,179,233,800
Mar 25, 2026,705.00,725.00,700.00,730.00,730.00,158,412,900
Mar 17, 2026,700.00,720.00,650.00,685.00,685.00,180,588,300
Mar 16, 2026,720.00,720.00,670.00,705.00,705.00,189,280,300
Mar 13, 2026,740.00,745.00,705.00,725.00,725.00,141,769,600
Mar 12, 2026,755.00,770.00,730.00,740.00,740.00,184,266,400
Mar 11, 2026,700.00,700.00,680.00,695.00,695.00,370,522,100
Mar 10, 2026,660.00,690.00,630.00,660.00,660.00,278,857,800
Mar 9, 2026,710.00,730.00,695.00,715.00,715.00,171,029,100
Mar 6, 2026,780.00,780.00,725.00,710.00,710.00,308,519,100
Mar 5, 2026,755.00,840.00,750.00,770.00,770.00,465,728,400
Mar 4, 2026,805.00,855.00,805.00,815.00,815.00,206,065,900
Mar 3, 2026,825.00,855.00,775.00,855.00,855.00,308,062,500
Mar 2, 2026,850.00,855.00,790.00,820.00,820.00,396,989,500
Feb 26, 2026,900.00,920.00,830.00,845.00,845.00,597,235,900
Feb 25, 2026,885.00,910.00,865.00,880.00,880.00,307,250,400
Feb 24, 2026,875.00,900.00,860.00,875.00,875.00,324,408,800
Feb 20, 2026,910.00,935.00,845.00,865.00,865.00,497,874,600
Feb 19, 2026,830.00,945.00,800.00,905.00,905.00,1,296,743,500
Feb 18, 2026,765.00,800.00,745.00,785.00,785.00,368,728,900
Feb 13, 2026,740.00,755.00,715.00,725.00,725.00,150,512,700
Feb 12, 2026,740.00,760.00,725.00,735.00,735.00,278,103,800
Feb 11, 2026,690.00,730.00,685.00,700.00,700.00,257,309,400
Feb 10, 2026,655.00,720.00,655.00,685.00,685.00,292,261,400
Feb 9, 2026,625.00,670.00,615.00,655.00,655.00,191,340,100
Feb 6, 2026,635.00,640.00,605.00,615.00,615.00,185,081,900
Feb 5, 2026,675.00,680.00,625.00,670.00,670.00,163,977,500
Feb 4, 2026,635.00,650.00,625.00,670.00,670.00,334,155,800
Feb 3, 2026,605.00,655.00,545.00,650.00,650.00,533,863,900
Feb 2, 2026,650.00,685.00,595.00,595.00,595.00,331,782,900
Jan 30, 2026,720.00,735.00,670.00,700.00,700.00,267,077,800
Jan 29, 2026,705.00,735.00,645.00,720.00,720.00,768,598,200
Jan 28, 2026,665.00,775.00,665.00,755.00,755.00,582,208,100
Jan 27, 2026,810.00,800.00,765.00,765.00,765.00,288,625,400
Jan 26, 2026,810.00,800.00,770.00,805.00,805.00,591,352,400
Jan 23, 2026,820.00,810.00,795.00,795.00,795.00,274,452,800
Jan 22, 2026,785.00,800.00,765.00,790.00,790.00,613,803,300
Jan 21, 2026,765.00,810.00,755.00,770.00,770.00,341,581,600
Jan 20, 2026,770.00,780.00,735.00,770.00,770.00,191,848,400
Jan 15, 2026,810.00,845.00,780.00,790.00,790.00,686,073,600
Jan 14, 2026,800.00,815.00,750.00,770.00,770.00,1,163,573,300
Jan 13, 2026,650.00,690.00,650.00,775.00,775.00,1,744,298,300
Jan 12, 2026,665.00,670.00,615.00,650.00,650.00,356,975,200
Jan 9, 2026,635.00,650.00,625.00,650.00,650.00,176,705,700
Jan 8, 2026,655.00,680.00,625.00,660.00,660.00,479,440,100
Jan 7, 2026,680.00,720.00,665.00,670.00,670.00,981,577,200
Jan 6, 2026,645.00,670.00,635.00,660.00,660.00,419,525,600
Jan 5, 2026,625.00,645.00,605.00,625.00,625.00,263,126,700
Jan 2, 2026,580.00,630.00,580.00,620.00,620.00,390,783,900
Dec 30, 2025,580.00,590.00,565.00,570.00,570.00,149,005,000
Dec 29, 2025,545.00,580.00,545.00,580.00,580.00,183,630,800
Dec 24, 2025,570.00,575.00,545.00,545.00,545.00,145,116,200
Dec 23, 2025,545.00,575.00,535.00,560.00,560.00,282,523,700
Dec 22, 2025,550.00,565.00,540.00,540.00,540.00,81,659,400
Dec 19, 2025,550.00,565.00,530.00,530.00,530.00,137,468,200
Dec 18, 2025,555.00,560.00,540.00,545.00,545.00,159,644,400
Dec 17, 2025,530.00,540.00,525.00,535.00,535.00,59,367,100
Dec 16, 2025,535.00,540.00,525.00,535.00,535.00,74,609,200
Dec 15, 2025,535.00,540.00,530.00,535.00,535.00,161,743,400
Dec 12, 2025,565.00,570.00,525.00,535.00,535.00,82,737,500
Dec 11, 2025,545.00,570.00,535.00,535.00,535.00,191,203,500
Dec 10, 2025,540.00,570.00,535.00,560.00,560.00,209,889,500
Dec 9, 2025,560.00,565.00,535.00,540.00,540.00,106,481,000
Dec 8, 2025,540.00,560.00,540.00,555.00,555.00,136,362,300
Dec 5, 2025,535.00,545.00,530.00,535.00,535.00,62,998,200
Dec 4, 2025,535.00,550.00,530.00,545.00,545.00,74,878,200
Dec 3, 2025,545.00,560.00,530.00,545.00,545.00,112,044,300
Dec 2, 2025,555.00,550.00,540.00,545.00,545.00,111,213,200
Dec 1, 2025,545.00,560.00,535.00,550.00,550.00,132,493,900
Nov 28, 2025,570.00,570.00,545.00,545.00,545.00,191,457,800
Nov 27, 2025,590.00,600.00,565.00,570.00,570.00,150,281,500
Nov 26, 2025,590.00,595.00,575.00,585.00,585.00,155,987,200
Nov 25, 2025,555.00,580.00,560.00,560.00,560.00,340,148,200
Nov 24, 2025,565.00,576.00,550.00,550.00,550.00,148,148,700
Nov 21, 2025,565.00,580.00,540.00,560.00,560.00,177,126,800
Nov 20, 2025,575.00,580.00,565.00,565.00,565.00,94,360,900
Nov 19, 2025,575.00,590.00,560.00,565.00,565.00,125,211,700
Nov 18, 2025,585.00,590.00,560.00,575.00,575.00,201,423,800
Nov 17, 2025,635.00,635.00,580.00,595.00,595.00,384,690,700
Nov 14, 2025,655.00,655.00,625.00,635.00,635.00,206,776,500
Nov 13, 2025,675.00,675.00,650.00,660.00,660.00,138,852,400
Nov 12, 2025,685.00,700.00,670.00,670.00,670.00,206,129,500
Nov 11, 2025,695.00,750.00,685.00,685.00,685.00,1,017,299,700
Nov 10, 2025,640.00,660.00,635.00,645.00,645.00,386,738,500
Nov 7, 2025,645.00,660.00,625.00,645.00,645.00,115,837
